Name,link,Org Name,Org Link,Notes,Formats
Accessible facilities in Hong Kong,https://data.gov.hk/en-data/dataset/rehabsociety-access-accessibile-facilities,The Hong Kong Society for Rehabilitation,https://data.gov.hk/en-datasets/provider/rehabsociety ,,"XML,"
Annual Fixed Price of Dongjiang Water,https://data.gov.hk/en-data/dataset/hk-wsd-wsd2-expenditure-on-purchase-dj-water,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,"
Dongjiang Water Quality,https://data.gov.hk/en-data/dataset/hk-wsd-wsd1-dongjiang-water-quality-full-report,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,XLSX,"
Drinking Water Quality (Full Report),https://data.gov.hk/en-data/dataset/hk-wsd-wsd1-water-quality-data-full-report,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"XLSX,"
Drinking Water Quality (Part A. Microbiological parameters),https://data.gov.hk/en-data/dataset/hk-wsd-wsd1-water-quality-data-part-a,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,"
Drinking Water Quality (Part B. Chemicals parameters),https://data.gov.hk/en-data/dataset/hk-wsd-wsd1-water-quality-data-part-b,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,"
Drinking Water Quality (Part C. Radiological parameters),https://data.gov.hk/en-data/dataset/hk-wsd-wsd1-water-quality-data-c,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,"
Drinking Water Quality (Part D.  Other parameters),https://data.gov.hk/en-data/dataset/hk-wsd-wsd1-water-quality-data-part-d,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,"
Indoor Air Quality,https://data.gov.hk/en-data/dataset/hk-wsd-wsd3-indoor-air-quality,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,"
Real-time occupancy status of kerbside loading and unloading bays in Kowloon East,https://data.gov.hk/en-data/dataset/hk-devb-elnu-klubm-occupancy,Development Bureau,https://data.gov.hk/en-datasets/provider/hk-devb ,,"JSON,"
Storage Position of Impounding Reservoirs,https://data.gov.hk/en-data/dataset/hk-wsd-wsd2-storage-position-reservoir-weekly,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,"
Storage Position of Individual Impounding Reservoirs,https://data.gov.hk/en-data/dataset/hk-wsd-wsd2-storage-position-individual-reservoir-bi-weekly,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,"
"Trade licences for places of public entertainment, commercial bathhouses, swimming pools, slaughterhouses, offensive trades, funeral parlours and undertakers",https://data.gov.hk/en-data/dataset/hk-fehd-fehdlmis-trade-licences,Food and Environmental Hygiene Department,https://data.gov.hk/en-datasets/provider/hk-fehd ,,"XML,"
Water Resources,https://data.gov.hk/en-data/dataset/hk-wsd-wsd2-water-resources,Water Supplies Department,https://data.gov.hk/en-datasets/provider/hk-wsd ,,"CSV,"
9-day weather forecast,https://data.gov.hk/en-data/dataset/hk-hko-rss-9-day-weather-forecast,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"RSS,"
Current weather report,https://data.gov.hk/en-data/dataset/hk-hko-rss-current-weather-report,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"RSS,"
Local weather forecast,https://data.gov.hk/en-data/dataset/hk-hko-rss-local-weather-forecast,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"RSS,"
Locally felt earth tremor report,https://data.gov.hk/en-data/dataset/hk-hko-rss-locally-felt-earth-tremor-report,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"RSS,"
Predicted tidal information (Hourly heights of tides in 2019),https://data.gov.hk/en-data/dataset/hk-hko-rss-hourly-heights-of-tides-in-2019,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"CSV,"
Predicted tidal information (Hourly heights of tides in 2020),https://data.gov.hk/en-data/dataset/hk-hko-rss-hourly-heights-of-tides-in-2020,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"CSV,"
Predicted tidal information (Times and heights of high and low tides in 2019),https://data.gov.hk/en-data/dataset/hk-hko-rss-times-and-heights-of-high-and-low-tides-in-2019,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"CSV,"
Predicted tidal information (Times and heights of high and low tides in 2020),https://data.gov.hk/en-data/dataset/hk-hko-rss-times-and-heights-of-high-and-low-tides-in-2020,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"CSV,"
Quick earthquake messages,https://data.gov.hk/en-data/dataset/hk-hko-rss-quick-earthquake-messages,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"RSS,"
Weather warning information,https://data.gov.hk/en-data/dataset/hk-hko-rss-weather-warning-information,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"RSS,"
Weather warning summary,https://data.gov.hk/en-data/dataset/hk-hko-rss-weather-warning-summary,Hong Kong Observatory,https://data.gov.hk/en-datasets/provider/hk-hko ,,"RSS,"
Annual Earnings and Hours Survey,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-aehs,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"XLS,"
Approved Competent Persons for Locating Underground Electricity Cables,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-approved-competent-persons-for-locating-underground-electricity-cables,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Auto-LPG Prices,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-auto-lpg-prices,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Average Wholesale Prices of Selected Building Materials,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-average-wholesale-prices,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"XML,"
Business Receipts Indices for Service Industries,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-qbri,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
Business Situation of Small and Medium-sized Enterprises,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-sme,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"XLSX,"
Business Tendency,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-bt,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"XML,"
Companies in Hong Kong with Parent Companies Located outside Hong Kong,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-scorp,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,"
Competent Persons (Class 6),https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-vehicle-mechanics-competent-persons,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Construction Output,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-cms,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
Consumer Price Index,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-cpi,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XLSX,XML,"
Contractor List 1: Gas Installation Work In Commercial Kitchens Registered Gas Contractors (Town Gas),https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-gas-contractors-1,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Contractor List 2: Gas Installation Work In Commercial Kitchens Registered Gas Contractors (LPG),https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-gas-contractors-2,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Contractor List 3: Registered Gas Contractors (Dim Sum Trolley Supply and/or Service),https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-registered-gas-contractors-3,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"XLSX,"
Defect rectification tips for HK Electric's inspection on customer installation,https://data.gov.hk/en-data/dataset/hkelectric-tnd_cs_ci-hkelectric-inspection-defect-tips,"The Hongkong Electric Company, Limited",https://data.gov.hk/en-datasets/provider/hkelectric ,,"CSV,"
Employment and Value added of the Four Key Industries and Other Selected Industries,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-four-key-industry,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XLSX,"
Estimated power consumption for general office appliances,https://data.gov.hk/en-data/dataset/hkelectric-tnd_cs_ci-hkelectric-appliance-consumption,"The Hongkong Electric Company, Limited",https://data.gov.hk/en-datasets/provider/hkelectric ,,"CSV,"
Feature Articles on Commerce and Industry,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-fa-comm,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XLSX,"
Free eMail Notification Services,https://data.gov.hk/en-data/dataset/hk-tid-itms-email-notification-services,Trade and Industry Department,https://data.gov.hk/en-datasets/provider/hk-tid ,,"XML,"
General information of overseas Economic and Trade Offices (ETOs),https://data.gov.hk/en-data/dataset/hk-cedb-citb_hq-eto-general-info,Commerce and Economic Development Bureau,https://data.gov.hk/en-datasets/provider/hk-cedb ,,"CSV,"
Hong Kong Accreditation Service (HKAS) – List of Accredited Certification Bodies under Hong Kong Certification Body Accreditation Scheme (HKCAS),https://data.gov.hk/en-data/dataset/hk-itc-hkas-cab-hkcas,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,"
Hong Kong Accreditation Service (HKAS) – List of Accredited Inspection Bodies under Hong Kong Inspection Body Accreditation Scheme (HKIAS),https://data.gov.hk/en-data/dataset/hk-itc-hkas-cab-hkias,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,"
Hong Kong Accreditation Service (HKAS) – List of Accredited Laboratories under Hong Kong Laboratory Accreditation Scheme (HOKLAS),https://data.gov.hk/en-data/dataset/hk-itc-hkas-cab-hoklas,Innovation and Technology Commission,https://data.gov.hk/en-datasets/provider/hk-itc ,,"CSV,"
Hong Kong Energy Statistics,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-energy,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
Hong Kong Trade in Services Statistics,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-tis,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
Hong Kong's Principal Trading Partners,https://data.gov.hk/en-data/dataset/hk-tid-itms-principal-trading-partners,Trade and Industry Department,https://data.gov.hk/en-datasets/provider/hk-tid ,,"CSV,"
Hotel room occupancy rate,https://data.gov.hk/en-data/dataset/hk-cedb-citb_tc-tc-hotel-room-occupancy-rate,Commerce and Economic Development Bureau,https://data.gov.hk/en-datasets/provider/hk-cedb ,,"CSV,"
Household Electrical Products with Certificates of Safety Compliance,https://data.gov.hk/en-data/dataset/hk-emsd-emsd1-cert-of-safety-compliance,Electrical and Mechanical Services Department,https://data.gov.hk/en-datasets/provider/hk-emsd ,,"JSON,"
Index Numbers of the Costs of Labour and Materials used in Public Sector Construction Projects,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-index-numbers-of-the-costs-of-labour,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
Index of Industrial Production,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-iip,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
Interactive Data Dissemination Service for Trade Statistics,https://data.gov.hk/en-data/dataset/hk-censtatd-trade-idds-trade,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"XML,"
"Key Statistics on Business Performance and Operating Characteristics of the Building, Construction and Real Estate Sectors",https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-asbcre,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
"Key Statistics on Business Performance and Operating Characteristics of the Import/Export, Wholesale and Retail Trades, and Accommodation and Food Services Sectors",https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-asw,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XLSX,XML,"
Key Statistics on Business Performance and Operating Characteristics of the Industrial Sector,https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-asip,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
"Key Statistics on Business Performance and Operating Characteristics of the Information and Communications, Financing and Insurance, Professional and Business Services Sectors",https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-assb,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
"Key Statistics on Business Performance and Operating Characteristics of the Transportation, Storage and Courier Services Sector",https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-ast,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,XML,"
Labour Productivity Index (Year 2000 = 100),https://data.gov.hk/en-data/dataset/hk-censtatd-tablechart-lpi,Census and Statistics Department,https://data.gov.hk/en-datasets/provider/hk-censtatd ,,"CSV,XLS,"
Licensed travel agents,https://data.gov.hk/en-data/dataset/hk-cedb-citb_tar-tar-licensed-travel-agents,Commerce and Economic Development Bureau,https://data.gov.hk/en-datasets/provider/hk-cedb ,,"CSV,"
List of Experimental Station Licensees,https://data.gov.hk/en-data/dataset/hk-ofca-ofca-ofca-dataset-1,Office of the Communications Authority,https://data.gov.hk/en-datasets/provider/hk-ofca ,,"XLSX,"
